verdict,statement_originator,statement,statement_date,statement_source,id,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering
pants-fire,Donald Trump,"""I never said Russia did not meddle in the election.""",2018-02-18,social_media,171,31,0.1497584541062802,0.20583910943079187,0.00437797421721566,0.21527597468047316,0.4946236559139785
mostly-true,Kamala Harris,"""No state generates as much solar power as California, or has as many people whose jobs depend on it.""",2018-01-24,social_media,74,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Donald Trump,"""After years of wage stagnation, we are finally seeing rising wages.""",2018-01-30,speech,98,11,0.05314009661835749,0.14006803304462168,6.762055425758981e-05,0.017096477764210444,0.8909090909090909
pants-fire,Mike Pence,"Says that ""along the southern border of the U.S.,"" the government apprehends ""seven individuals a day who are either known or suspected terrorists.""",2018-02-17,speech,166,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Mike Gibbons,"""A lot"" of Sen. Sherrod Brown’s policies ""reflect that interest in Marxism"" and a fondness for communism.",2018-02-20,news,179,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Elizabeth Foley,"Says James Comey suggested and CNN reported that the basis of the wiretapping warrant for Trump adviser Carter Page was ""all based on a dossier.""",2018-01-02,television,1,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Bobbie Richardson,"""The president is cutting the CDC budget by 80%.",2018-02-03,social_media,124,24,0.11594202898550723,0.18208844295800816,0.0010104974927089806,0.1879218533512852,0.6521739130434783
true,Norm Eisen,"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",2018-01-07,social_media,19,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Richard Corcoran,"""Incredibly, some Tallahassee politicians want to make Florida a sanctuary state.""",2018-01-29,advertisement,87,1,0.004830917874396135,0.012882447665056359,0.0,8.577034937259927e-15,0.0
true,Dana Wachs,"""We are last in the nation in startups — 50th.""",2018-01-29,radio,85,21,0.10144927536231883,0.18638974476016587,0.0011357048675831184,0.15553705581054933,0.6333333333333333
false,Facebook posts,"""Democrat Senators high-five after voting in favor of late-term abortion.""",2018-01-30,social_media,99,20,0.0966183574879227,0.19089917406887955,0.00913358327115583,0.06880872963743702,0.4105263157894737
mostly-false,Kellyanne Conway,"""I don’t need a lecture from Kirsten Gillibrand or anybody else who protected and defended and harbored a sitting president who had sexual relations in the Oval Office and was impeached for lying.""",2018-02-11,news,151,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
